benchmark,machine,rid,actual_runtime,predicted_runtime,prediction_error,total_regions,total_selected_regions,average_runtime
mg_C,summer,489,15434287997.8,-1,-1,976,24,19713627.0
mg_C,summer,906,15434287997.8,-1,-1,976,24,13354769.8
mg_C,summer,469,15434287997.8,-1,-1,976,24,20139124.8
mg_C,summer,783,15434287997.8,-1,-1,976,24,12026322.8
mg_C,summer,0,15434287997.8,-1,-1,976,24,17822015.0
mg_C,summer,807,15434287997.8,-1,-1,976,24,12182766.6
mg_C,summer,217,15434287997.8,-1,-1,976,24,19928503.4
mg_C,summer,859,15434287997.8,-1,-1,976,24,12262231.0
mg_C,summer,748,15434287997.8,-1,-1,976,24,20248745.8
mg_C,summer,503,15434287997.8,-1,-1,976,24,18197914.8
mg_C,summer,23,15434287997.8,-1,-1,976,24,6886080.4
mg_C,summer,731,15434287997.8,-1,-1,976,24,17854770.6
mg_C,summer,68,15434287997.8,-1,-1,976,24,11715832.6
mg_C,summer,222,15434287997.8,-1,-1,976,24,18593787.0
mg_C,summer,193,15434287997.8,-1,-1,976,24,13129156.8
mg_C,summer,337,15434287997.8,-1,-1,976,24,11919733.8
mg_C,summer,263,15434287997.8,-1,-1,976,24,9239355.8
mg_C,summer,736,15434287997.8,-1,-1,976,24,11280457.8
mg_C,summer,515,15434287997.8,-1,-1,976,24,18053415.2
mg_C,summer,970,15434287997.8,-1,-1,976,24,14347451.6
mg_C,summer,548,15434287997.8,-1,-1,976,24,7163911.6
mg_C,summer,666,15434287997.8,-1,-1,976,24,11794457.8
mg_C,summer,143,15434287997.8,-1,-1,976,24,11297447.2
mg_C,summer,-1,15434287997.8,13959235803.200003,-9.556982445903888,976,24,-1.0
mg_C,saphir,69,14648704620.0,-1,-1,976,24,16172460.8
mg_C,saphir,489,14648704620.0,-1,-1,976,24,15369016.4
mg_C,saphir,906,14648704620.0,-1,-1,976,24,15168840.8
mg_C,saphir,469,14648704620.0,-1,-1,976,24,26262166.0
mg_C,saphir,783,14648704620.0,-1,-1,976,24,12184199.6
mg_C,saphir,0,14648704620.0,-1,-1,976,24,15578037.4
mg_C,saphir,807,14648704620.0,-1,-1,976,24,14451814.4
mg_C,saphir,217,14648704620.0,-1,-1,976,24,15377206.6
mg_C,saphir,859,14648704620.0,-1,-1,976,24,14740724.2
mg_C,saphir,748,14648704620.0,-1,-1,976,24,14994178.0
mg_C,saphir,503,14648704620.0,-1,-1,976,24,14509854.6
mg_C,saphir,23,14648704620.0,-1,-1,976,24,9802905.2
mg_C,saphir,731,14648704620.0,-1,-1,976,24,23348430.8
mg_C,saphir,68,14648704620.0,-1,-1,976,24,12819629.6
mg_C,saphir,222,14648704620.0,-1,-1,976,24,15288560.4
mg_C,saphir,193,14648704620.0,-1,-1,976,24,15877974.4
mg_C,saphir,337,14648704620.0,-1,-1,976,24,14500424.0
mg_C,saphir,263,14648704620.0,-1,-1,976,24,11198256.0
mg_C,saphir,736,14648704620.0,-1,-1,976,24,12950695.0
mg_C,saphir,515,14648704620.0,-1,-1,976,24,16136917.2
mg_C,saphir,970,14648704620.0,-1,-1,976,24,22485215.4
mg_C,saphir,548,14648704620.0,-1,-1,976,24,9649206.6
mg_C,saphir,666,14648704620.0,-1,-1,976,24,14354798.8
mg_C,saphir,143,14648704620.0,-1,-1,976,24,14591677.0
mg_C,saphir,-1,14648704620.0,14957736360.8,2.1096182141462227,976,24,-1.0
sp_C,summer,21123,271276845004.2,-1,-1,31402,45,8303362.2
sp_C,summer,28210,271276845004.2,-1,-1,31402,45,7286982.6
sp_C,summer,29860,271276845004.2,-1,-1,31402,45,7453923.8
sp_C,summer,20055,271276845004.2,-1,-1,31402,45,13576881.2
sp_C,summer,12419,271276845004.2,-1,-1,31402,45,7467307.8
sp_C,summer,20678,271276845004.2,-1,-1,31402,45,7554389.8
sp_C,summer,29757,271276845004.2,-1,-1,31402,45,8720765.0
sp_C,summer,3402,271276845004.2,-1,-1,31402,45,7639857.6
sp_C,summer,2470,271276845004.2,-1,-1,31402,45,13688769.0
sp_C,summer,21157,271276845004.2,-1,-1,31402,45,8043118.0
sp_C,summer,29750,271276845004.2,-1,-1,31402,45,9509454.8
sp_C,summer,13815,271276845004.2,-1,-1,31402,45,7824217.2
sp_C,summer,6147,271276845004.2,-1,-1,31402,45,6736317.4
sp_C,summer,24028,271276845004.2,-1,-1,31402,45,8039508.6
